date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:36:54	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Feb%202022%2012:06:54%20GMT	https://maharshi98patel.wixsite.com/arish-technology/9b155e90.min.css	C:/My%20Web%20Sites/ArishTech/maharshi98patel.wixsite.com/arish-technology/9b155e90.min.css	(from https://maharshi98patel.wixsite.com/arish-technology/index)
17:36:55	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Feb%202022%2012:06:54%20GMT	https://maharshi98patel.wixsite.com/arish-technology/4ec2545d.min.css	C:/My%20Web%20Sites/ArishTech/maharshi98patel.wixsite.com/arish-technology/4ec2545d.min.css	(from https://maharshi98patel.wixsite.com/arish-technology/index)
17:36:55	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Feb%202022%2012:06:54%20GMT	https://maharshi98patel.wixsite.com/arish-technology/1bbe301d.min.css	C:/My%20Web%20Sites/ArishTech/maharshi98patel.wixsite.com/arish-technology/1bbe301d.min.css	(from https://maharshi98patel.wixsite.com/arish-technology/index)
17:36:55	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Feb%202022%2012:06:55%20GMT	https://maharshi98patel.wixsite.com/arish-technology/e78a13b3.min.css	C:/My%20Web%20Sites/ArishTech/maharshi98patel.wixsite.com/arish-technology/e78a13b3.min.css	(from https://maharshi98patel.wixsite.com/arish-technology/index)
17:36:55	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Feb%202022%2012:06:55%20GMT	https://maharshi98patel.wixsite.com/arish-technology/b604fd33.min.css	C:/My%20Web%20Sites/ArishTech/maharshi98patel.wixsite.com/arish-technology/b604fd33.min.css	(from https://maharshi98patel.wixsite.com/arish-technology/index)
17:36:55	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Feb%202022%2012:06:55%20GMT	https://maharshi98patel.wixsite.com/arish-technology/48c6d58d.min.css	C:/My%20Web%20Sites/ArishTech/maharshi98patel.wixsite.com/arish-technology/48c6d58d.min.css	(from https://maharshi98patel.wixsite.com/arish-technology/index)
17:36:56	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Feb%202022%2012:06:55%20GMT	https://maharshi98patel.wixsite.com/arish-technology/439c90c8.min.css	C:/My%20Web%20Sites/ArishTech/maharshi98patel.wixsite.com/arish-technology/439c90c8.min.css	(from https://maharshi98patel.wixsite.com/arish-technology/index)
17:36:56	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Feb%202022%2012:06:56%20GMT	https://maharshi98patel.wixsite.com/arish-technology/cd69f57c.min.css	C:/My%20Web%20Sites/ArishTech/maharshi98patel.wixsite.com/arish-technology/cd69f57c.min.css	(from https://maharshi98patel.wixsite.com/arish-technology/index)
17:36:56	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Feb%202022%2012:06:56%20GMT	https://maharshi98patel.wixsite.com/arish-technology/bc223d50.min.css	C:/My%20Web%20Sites/ArishTech/maharshi98patel.wixsite.com/arish-technology/bc223d50.min.css	(from https://maharshi98patel.wixsite.com/arish-technology/index)
17:36:57	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Feb%202022%2012:06:56%20GMT	https://maharshi98patel.wixsite.com/arish-technology/bc2466c0.min.css	C:/My%20Web%20Sites/ArishTech/maharshi98patel.wixsite.com/arish-technology/bc2466c0.min.css	(from https://maharshi98patel.wixsite.com/arish-technology/index)
17:36:57	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Feb%202022%2012:06:56%20GMT	https://maharshi98patel.wixsite.com/arish-technology/5d7b6bbf.min.css	C:/My%20Web%20Sites/ArishTech/maharshi98patel.wixsite.com/arish-technology/5d7b6bbf.min.css	(from https://maharshi98patel.wixsite.com/arish-technology/index)
17:36:57	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Feb%202022%2012:06:57%20GMT	https://maharshi98patel.wixsite.com/arish-technology/3fdab364.min.css	C:/My%20Web%20Sites/ArishTech/maharshi98patel.wixsite.com/arish-technology/3fdab364.min.css	(from https://maharshi98patel.wixsite.com/arish-technology/index)
17:36:57	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Feb%202022%2012:06:57%20GMT	https://maharshi98patel.wixsite.com/arish-technology/20d93486.min.css	C:/My%20Web%20Sites/ArishTech/maharshi98patel.wixsite.com/arish-technology/20d93486.min.css	(from https://maharshi98patel.wixsite.com/arish-technology/index)
17:36:57	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Feb%202022%2012:06:57%20GMT	https://maharshi98patel.wixsite.com/arish-technology/9692b4a8.min.css	C:/My%20Web%20Sites/ArishTech/maharshi98patel.wixsite.com/arish-technology/9692b4a8.min.css	(from https://maharshi98patel.wixsite.com/arish-technology/index)
17:36:58	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Feb%202022%2012:06:57%20GMT	https://maharshi98patel.wixsite.com/arish-technology/914012ea.min.css	C:/My%20Web%20Sites/ArishTech/maharshi98patel.wixsite.com/arish-technology/914012ea.min.css	(from https://maharshi98patel.wixsite.com/arish-technology/index)
17:36:58	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Feb%202022%2012:06:58%20GMT	https://maharshi98patel.wixsite.com/arish-technology/ffa0eb8f.min.css	C:/My%20Web%20Sites/ArishTech/maharshi98patel.wixsite.com/arish-technology/ffa0eb8f.min.css	(from https://maharshi98patel.wixsite.com/arish-technology/index)
17:36:58	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Feb%202022%2012:06:58%20GMT	https://maharshi98patel.wixsite.com/arish-technology/fe8be6d6.min.css	C:/My%20Web%20Sites/ArishTech/maharshi98patel.wixsite.com/arish-technology/fe8be6d6.min.css	(from https://maharshi98patel.wixsite.com/arish-technology/index)
17:36:58	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Feb%202022%2012:06:58%20GMT	https://maharshi98patel.wixsite.com/arish-technology/a28cca36.min.css	C:/My%20Web%20Sites/ArishTech/maharshi98patel.wixsite.com/arish-technology/a28cca36.min.css	(from https://maharshi98patel.wixsite.com/arish-technology/index)
17:36:59	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Feb%202022%2012:06:58%20GMT	https://maharshi98patel.wixsite.com/arish-technology/02b07b80.min.css	C:/My%20Web%20Sites/ArishTech/maharshi98patel.wixsite.com/arish-technology/02b07b80.min.css	(from https://maharshi98patel.wixsite.com/arish-technology/index)
17:36:59	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Feb%202022%2012:06:59%20GMT	https://maharshi98patel.wixsite.com/arish-technology/265e9a4a.min.css	C:/My%20Web%20Sites/ArishTech/maharshi98patel.wixsite.com/arish-technology/265e9a4a.min.css	(from https://maharshi98patel.wixsite.com/arish-technology/index)
17:36:59	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Feb%202022%2012:06:59%20GMT	https://maharshi98patel.wixsite.com/arish-technology/ff342417.min.css	C:/My%20Web%20Sites/ArishTech/maharshi98patel.wixsite.com/arish-technology/ff342417.min.css	(from https://maharshi98patel.wixsite.com/arish-technology/index)
17:36:59	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Feb%202022%2012:06:59%20GMT	https://maharshi98patel.wixsite.com/arish-technology/2a1582d7.min.css	C:/My%20Web%20Sites/ArishTech/maharshi98patel.wixsite.com/arish-technology/2a1582d7.min.css	(from https://maharshi98patel.wixsite.com/arish-technology/index)
17:37:00	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Feb%202022%2012:06:59%20GMT	https://maharshi98patel.wixsite.com/arish-technology/eb321d93.min.css	C:/My%20Web%20Sites/ArishTech/maharshi98patel.wixsite.com/arish-technology/eb321d93.min.css	(from https://maharshi98patel.wixsite.com/arish-technology/index)
17:37:00	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Feb%202022%2012:06:59%20GMT	https://maharshi98patel.wixsite.com/arish-technology/06cfef68.min.css	C:/My%20Web%20Sites/ArishTech/maharshi98patel.wixsite.com/arish-technology/06cfef68.min.css	(from https://maharshi98patel.wixsite.com/arish-technology/index)
